timestamp	delay_ms	delay_smooth
1761758197560227	43.696	42.922
1761758197572860	44.246	43.588
1761758197587322	46.585	43.569
1761758197596894	43.652	43.906
1761758197612219	46.530	44.179
1761758197623482	44.923	44.097
1761758197634678	43.571	44.109
1761758197649355	45.269	43.801
1761758197658706	41.996	43.187
1761758197670309	40.502	42.679
1761758197686052	43.813	42.553
1761758197695540	41.170	42.498
1761758197707268	40.447	42.379
1761758197718163	38.571	41.982
1761758197737981	45.272	41.402
1761758197749268	44.371	41.922
1761758197759402	42.380	41.810
1761758197770789	41.301	41.969
1761758197778501	36.192	41.804
1761758197800868	45.699	41.607
1761758197809847	42.694	41.374
1761758197822085	42.759	41.619
1761758197830674	38.801	41.442
1761758197841283	36.598	43.058
1761758197861939	42.944	44.214
1761758197879682	46.824	44.110
1761758197886671	40.603	44.069
1761758197890327	57.469	43.741
1761758197893815	47.747	44.135
1761758197903512	44.662	44.725
1761758197913694	42.287	44.473
1761758197923843	39.472	43.694
1761758197939599	42.739	43.875
1761758197951338	42.503	42.832
1761758197961476	40.423	42.334
1761758197972530	39.036	41.953
1761758197988792	42.413	41.684
1761758198005717	47.034	42.299
1761758198013342	42.769	42.229
1761758198023518	40.854	42.053
1761758198034602	39.601	42.337
1761758198052556	45.617	43.043
1761758198061159	42.036	43.107
1761758198072278	40.745	42.635
1761758198087521	43.263	42.498
1761758198103078	46.096	42.105
1761758198112063	43.056	42.901
1761758198123287	42.309	42.716
1761758198134688	41.403	42.749
1761758198142982	36.925	42.704
1761758198166292	47.559	42.100
1761758198175035	43.772	41.632
1761758198185759	42.366	41.844
1761758198196056	40.290	41.909
1761758198205647	37.220	41.819
1761758198222809	41.418	41.977
1761758198238694	45.175	41.602
1761758198248428	42.965	41.808
1761758198258186	40.500	41.877
1761758198268659	38.507	42.084
1761758198286702	43.802	42.338
1761758198300972	45.835	42.351
1761758198310266	43.054	42.413
1761758198321770	42.366	42.483
1761758198331640	39.757	42.691
1761758198346241	41.551	42.667
1761758198363143	45.791	41.997
1761758198372997	43.669	42.028
1761758198383960	42.576	42.145
1761758198392052	38.270	42.061
1761758198403656	37.100	41.982
1761758198425299	46.150	41.849
1761758198435601	44.217	41.422
1761758198444942	41.528	41.442
1761758198454542	38.968	41.481
1761758198468342	40.216	41.737
1761758198482536	41.525	41.773
1761758198497090	43.869	41.175
1761758198508192	42.971	41.171
1761758198518191	40.831	41.354
1761758198527309	37.456	41.533
1761758198542870	40.166	41.343
1761758198559667	44.179	41.299
1761758198570836	43.358	41.343
1761758198580365	40.759	41.377
1761758198590283	38.320	41.368
1761758198605765	41.077	41.590
1761758198621521	44.311	41.256
1761758198632740	43.312	41.393
1761758198642165	40.745	41.349
1761758198653400	39.677	41.431
1761758198663079	36.825	42.238
1761758198684383	45.550	42.518
1761758198694124	42.918	42.336
1761758198704808	41.576	42.057
1761758198721513	46.391	41.869
1761758198731248	43.874	42.041
1761758198741939	42.488	42.893
1761758198752181	40.527	42.718
1761758198763015	38.862	42.583
1761758198778239	41.401	42.265
1761758198794796	45.345	41.809
1761758198805238	43.793	42.439
1761758198815113	41.576	43.323
1761758198824356	38.391	44.663
1761758198840648	41.834	45.247
1761758198861500	50.175	45.355
1761758198874904	51.330	45.238
1761758198889651	53.926	45.076
1761758198892808	44.695	44.981
1761758198903278	42.484	45.163
1761758198917863	44.178	44.608
1761758198927934	42.175	43.552
1761758198938399	40.620	42.834
1761758198950251	40.209	41.839
1761758198958939	36.290	41.395
1761758198974958	39.611	41.067
1761758198991568	44.147	40.897
1761758199003321	43.983	41.181
1761758199011777	40.250	41.506
1761758199023097	39.210	41.601
1761758199039067	42.478	41.975
1761758199054145	45.017	41.712
1761758199065012	43.864	42.015
1761758199074285	41.158	41.887
1761758199085550	40.035	42.064
1761758199095215	36.974	42.129
1761758199118036	47.186	41.586
1761758199125929	42.699	41.163
1761758199137235	42.016	41.125
1761758199147361	39.864	41.402
1761758199157186	37.050	41.444
1761758199173610	40.783	41.628
1761758199188566	43.486	41.062
1761758199200923	43.923	41.202
1761758199209594	40.462	41.203
1761758199220458	38.812	41.369
1761758199235941	41.523	41.682
1761758199251207	44.105	41.321
1761758199261079	42.022	41.423
1761758199272655	41.523	41.421
1761758199283623	40.182	41.706
1761758199293352	37.173	41.853
1761758199313300	44.503	41.603
1761758199324767	43.900	41.274
1761758199336169	43.312	41.563
1761758199345466	40.284	41.760
1761758199356760	39.022	41.783
1761758199371221	40.815	41.979
1761758199387767	44.919	41.870
1761758199398305	43.494	42.148
1761758199407325	40.413	42.072
1761758199418408	39.131	42.247
1761758199435499	43.408	42.300
1761758199451186	46.679	41.919
1761758199459239	42.551	41.493
1761758199470789	42.040	41.545
1761758199480571	39.545	41.788
1761758199490654	37.009	41.790
1761758199507156	40.657	41.290
1761758199522653	44.022	40.727
1761758199533503	42.842	40.912
1761758199542022	39.145	40.874
1761758199553871	38.410	40.928
1761758199569198	41.048	41.167
1761758199584701	44.403	41.255
1761758199594011	41.662	41.217
1761758199604650	40.086	41.156
1761758199616352	39.395	41.830
1761758199631219	41.540	42.586
1761758199645987	43.643	42.687
1761758199656514	42.228	42.328
1761758199672262	45.888	42.029
1761758199684811	45.970	42.319
